key	freq
arctic_bay	590
arviat	1012
baker_lake	1120
bathurst_inlet	104
cambridge_bay	2105
cape_dorset	416
chesterfield_inlet	474
clyde_river	711
coral_harbour	606
gjoa_haven	762
grise_fiord	301
hall_beach	384
igloolik	669
iqaluit	4943
kimmirut	298
kugaaruk	267
kugluktuk	1499
nanisivik	221
pangnirtung	821
pond_inlet	779
qikiqtarjuaq	240
rankin_inlet	2172
repulse_bay	599
resolute	227
sanikiluaq	704
taloyoak	488
umingmaktok	25
whale_cove	336
